year,model,price,type_id,class_id,make_id
2009,Suburban,18999,1,1,1
2011,F150,22999,2,1,2
2012,Escalade,24999,1,3,3
2018,Rogue,34999,1,2,4
2016,Sonata,29999,3,2,5
2020,Challenger,49999,4,4,6
2015,Tahoe,26999,1,1,1
2017,QX80,54999,1,3,7
2015,Fusion,19999,3,2,2
2014,XTS,19999,3,3,3
,,,,,
ID,Type,,,,
1,SUV,,,,
2,Truck,,,,
3,Sedan,,,,
4,Coupe,,,,
,,,,,
ID,Class,,,,
1,Utility,,,,
2,Economy,,,,
3,Luxury,,,,
4,Sports,,,,
,,,,,
ID,Make,,,,
1,Chevy,,,,
2,Ford,,,,
3,Cadillac,,,,
4,Nissan,,,,
5,Hyundai,,,,
6,Dodge,,,,
7,Infiniti,,,,
8,Buick,,,,
